ano,id_municipio,tipo_estabelecimento,cnae_2,quantidade_vinculos_ativos,cep,geometry,grupo_cnae
2023,3106200,1,31012,0,30570080,POINT (606506.1516727965 7792688.037866956),C
2023,3106200,1,12204,0,31812240,POINT (611940.1967115222 7805023.3616696885),C
2023,3106200,1,10911,0,30421473,POINT (607960.9604540295 7793432.825992651),C
2023,3106200,1,32990,0,30170008,POINT (609756.9865681406 7795542.851740453),C
2023,3106200,1,25128,0,31250700,POINT (608691.3232790651 7800456.221567741),C
2023,3106200,1,18211,0,30770080,POINT (608105.0489950491 7798164.939621415),C
2023,3106200,1,13511,0,31310270,POINT (606856.663869864 7800285.2763800295),C
2023,3106200,1,33112,0,30350250,POINT (610414.4101106211 7793803.628866472),C
2023,3106200,1,23915,0,31515300,POINT (609251.4940790934 7807508.929640653),C
2023,3106200,1,31012,0,30690250,POINT (599897.8335877641 7790540.569085972),C
2023,3106200,1,10911,0,30421418,POINT (607455.0898948925 7794104.782108674),C
2023,3106200,1,31012,0,30690400,POINT (599218.0312207764 7790943.238681076),C
2023,3106200,1,25420,0,30622582,POINT (606306.4608997742 7788947.4763991535),C
2023,3106200,1,18229,0,31030360,POINT (612853.6849847306 7798863.13762021),C
2023,3106200,1,33139,0,31840430,POINT (612971.8577695523 7805412.230676547),C
2023,3106200,1,25420,0,30730420,POINT (606188.6804364371 7797477.667669046),C
2023,3106200,1,25128,0,30730440,POINT (606079.3579687728 7797668.464168083),C
2023,3106200,1,33139,0,30628015,POINT (603987.4748708329 7787390.227772024),C
2023,3106200,1,10911,0,31320100,POINT (606273.3737364823 7801413.099612856),C
2023,3106200,1,31012,0,31812200,POINT (611916.2845690771 7804909.85239245),C
2023,3106200,1,31012,0,30390450,POINT (608261.422472772 7788588.5054572765),C
2023,3106200,1,11135,0,30530100,POINT (604410.7101300618 7796281.736681464),C
2023,3106200,1,33121,0,30770190,POINT (607675.660643439 7798452.326902101),C
2023,3106200,1,25993,0,30431058,POINT (608319.5730730513 7795565.170047771),C
2023,3106200,1,33147,0,31310440,POINT (606441.8762998915 7802565.206737051),C
2023,3106200,1,10911,0,30575740,POINT (607230.9672912022 7790900.114572211),C
2023,3106200,1,10538,0,30310010,POINT (611669.6586448002 7794432.6552115735),C
2023,3106200,1,18300,0,30720420,POINT (607038.9819150227 7797051.67920152),C
2023,3106200,1,25993,0,31230030,POINT (608646.9408773164 7798422.70538925),C
2023,3106200,1,10961,0,31535220,POINT (606406.2447517794 7808460.522960815),C
2023,3106200,1,18300,0,30220280,POINT (613318.0365896965 7794660.97923387),C
2023,3106200,1,33147,0,31650710,POINT (607654.3817383766 7811524.065155018),C
2023,3106200,1,33147,0,30120060,POINT (611263.5189024783 7797065.528301422),C
2023,3106200,1,18130,0,31330382,POINT (604528.2723972069 7801927.47584663),C
2023,3106200,1,20134,0,30320670,POINT (610663.712773355 7790872.69603222),C
2023,3106200,1,31012,0,31990350,POINT (615412.6684422274 7804910.691251267),C
2023,3106200,1,10911,0,31310430,POINT (606508.2699045854 7802699.575516669),C
2023,3106200,1,31012,0,30627215,POINT (602236.7721759052 7788755.4099635845),C
2023,3106200,1,33210,0,30620230,POINT (604325.5036111051 7790136.727494071),C
2023,3106200,1,20631,0,30310403,POINT (612534.6634402205 7793428.474620034),C
2023,3106200,1,33147,0,30620210,POINT (604545.1092258482 7790534.306224915),C
2023,3106200,1,25128,0,30850160,POINT (604704.926370035 7797579.55343413),C
2023,3106200,1,33210,0,30668277,POINT (601757.5898812293 7786912.287255617),C
2023,3106200,1,18130,0,31560210,POINT (607329.8680321962 7805786.363210702),C
2023,3106200,1,22226,0,30431214,POINT (607929.6200381373 7794678.413418885),C
2023,3106200,1,32990,0,30626670,POINT (603733.0440072248 7787778.632758077),C
2023,3106200,1,25993,0,30550510,POINT (607224.9600040502 7794031.719090199),C
2023,3106200,1,23303,0,30662510,POINT (599612.8738212744 7789618.429707394),C
2023,3106200,1,10996,0,30350180,POINT (609883.8069594895 7794319.058587944),C
2023,3106200,1,13511,0,31170210,POINT (612619.2495434436 7800650.292491173),C
2023,3106200,1,33147,0,30810010,POINT (606175.614694954 7799086.229293892),C
