stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
acc_4_162_428,162,Ginzo de Limia pares,Calle de Ginzo de Limia 2,40.47632,-3.70294,,http://www.crtm.es,2,est_4_162,,0
par_4_163,163,VENTILLA,Avda de Asturias 39,40.46944,-3.69588,A,http://www.crtm.es,0,,Europe/Madrid,0
acc_4_163_430,163,Avda. Asturias pares,Avda de Asturias 34,40.46972,-3.69571,,http://www.crtm.es,2,est_4_163,,0
par_4_164,164,PLAZA DE CASTILLA,Paseo de la Castellana 189,40.4669,-3.68913,A,http://www.crtm.es,0,est_90_21,,0
par_4_165,165,DUQUE DE PASTRANA,Calle de Mateo Inurria 41,40.46763,-3.67917,A,http://www.crtm.es,0,,Europe/Madrid,0
acc_4_165_431,165,Mateo Inurria,Calle de Mateo Inurria 58,40.46746,-3.67929,,http://www.crtm.es,2,est_4_165,,0
par_4_166,166,PIO XII,Avda de Pío XII 27,40.463,-3.67579,A,http://www.crtm.es,0,,Europe/Madrid,0
acc_4_166_432,166,Avda. de Pío XII,Avda de Pío XII 4,40.46262,-3.67596,,http://www.crtm.es,2,est_4_166,,0
acc_4_166_433,166,Avda. de Pío XII,Avda de Pío XII 16,40.46501,-3.67552,,http://www.crtm.es,2,est_4_166,,0
par_4_167,167,COLOMBIA,Calle del Príncipe de Vergara 269,40.45749,-3.67694,A,http://www.crtm.es,0,est_4_156,,2
par_4_168,168,CONCHA ESPINA,Calle del Príncipe de Vergara 210,40.45145,-3.67738,A,http://www.crtm.es,0,,Europe/Madrid,0
acc_4_168_434,168,Plaza de Cataluña,Calle del Príncipe de Vergara 204,40.44943,-3.67767,,http://www.crtm.es,2,est_4_168,,0
par_4_169,169,CRUZ DEL RAYO,Calle del Príncipe de Vergara 138,40.44427,-3.67821,A,http://www.crtm.es,0,,Europe/Madrid,0
acc_4_169_436,169,Príncipe de Vergara pares,Calle del Príncipe de Vergara 146,40.44626,-3.67803,,http://www.crtm.es,2,est_4_169,,0
acc_4_169_438,169,Príncipe de Vergara impares,Calle del Príncipe de Vergara 131,40.44313,-3.67869,,http://www.crtm.es,2,est_4_169,,0
par_4_170,170,AVENIDA DE AMERICA,Avda de América 9 A,40.43804,-3.67647,A,http://www.crtm.es,0,est_90_4,,0
par_4_171,171,NUÑEZ DE BALBOA,Plaza del Marqués de Salamanca 9,40.43013,-3.67936,A,http://www.crtm.es,0,est_4_83,,0
par_4_172,172,PRINCIPE DE VERGARA,Calle del Príncipe de Vergara 12,40.42418,-3.68024,A,http://www.crtm.es,0,est_4_31,,0
par_4_173,173,IBIZA,Calle de Ibiza 1,40.41839,-3.67858,A,http://www.crtm.es,0,,Europe/Madrid,0
acc_4_173_440,173,Ibiza,Calle de Ibiza 7,40.41836,-3.67803,,http://www.crtm.es,2,est_4_173,,0
par_4_174,174,SAINZ DE BARANDA,Calle del Doctor Esquerdo 103,40.41503,-3.66951,A,http://www.crtm.es,0,est_4_114,,0
par_4_175,175,ESTRELLA,Calle del Camino de los Vinateros 1,40.41147,-3.66179,A,http://www.crtm.es,0,,Europe/Madrid,0
acc_4_175_443,175,Estrella Polar,Calle de Sirio 24,40.41177,-3.66342,,http://www.crtm.es,2,est_4_175,,0
